"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Themayor","Thick Spider's Silk","ffffffff","1","White","1","https://classicdb.ch/?item=4337","2017.09.22"
"Themayor","Ripped Wing Webbing","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4460","2017.09.22"
"Themayor","Smooth Leather Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3974","2017.09.22"
"Themayor","Immature Venom Sac","ffffffff","5","White","1","https://classicdb.ch/?item=12586","2017.09.22"
"Themayor","Scroll of Stamina IV","ffffffff","1","White","1","https://classicdb.ch/?item=10307","2017.09.22"
"Themayor","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.09.22"
"Themayor","White Spider Meat","ffffffff","2","White","1","https://classicdb.ch/?item=12205","2017.09.22"
"Themayor","Black Dragonscale","ffffffff","1","White","1","https://classicdb.ch/?item=15416","2017.09.17"
"Themayor","Handbook of Deadly Poison V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21302","2018.02.09"
"Themayor","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.09.17"
"Themayor","Twill Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3948","2017.09.17"
"Themayor","Runecloth","ffffffff","5","White","1","https://classicdb.ch/?item=14047","2017.09.26"
"Themayor","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.20"
"Themayor","Laminated Scale Cloak","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3995","2017.09.17"
"Themayor","Gutgore Ripper","ffa335ee","1","Epic","4","https://classicdb.ch/?item=17071","2017.10.01"
"Themayor","Head of Nefarian","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19003","2018.01.28"
"Themayor","Qiraji Ceremonial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20888","2018.02.09"
"Themayor","Blackhand's Command","ffffffff","1","White","1","https://classicdb.ch/?item=18987","2017.09.17"
