"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Toyotasupra","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.10.10"
"Toyotasupra","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.10.10"
"Toyotasupra","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19819","2017.10.10"
"Toyotasupra","Dreadforge Retaliator","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11931","2017.10.10"
"Toyotasupra","Felheart Horns","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16808","2017.10.15"
"Toyotasupra","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.10.10"
"Toyotasupra","Hyperion Shield of Agility","ff1eff00","1","Green","2","https://classicdb.ch/?item=10367","2017.10.10"
"Toyotasupra","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.10.10"
"Toyotasupra","Felheart Robes","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16809","2017.10.15"
"Toyotasupra","Hand of Justice","ff0070dd","1","Blue","3","https://classicdb.ch/?item=11815","2017.10.10"
"Toyotasupra","Blood of the Black Dragon Champion","ffffffff","1","White","1","https://classicdb.ch/?item=16663","2017.10.08"
"Toyotasupra","Shadowforge Torch","ffffffff","1","White","1","https://classicdb.ch/?item=11885","2017.10.10"
"Toyotasupra","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.10.10"
"Toyotasupra","Yellow Sack of Gems","ff1eff00","1","Green","2","https://classicdb.ch/?item=17965","2017.10.10"
"Toyotasupra","Felheart Shoulder Pads","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16807","2017.10.08"
"Toyotasupra","Pattern: Cloak of Fire","ff0070dd","1","Blue","3","https://classicdb.ch/?item=14486","2017.10.10"
"Toyotasupra","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.10"
"Toyotasupra","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.10.10"
