"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Veramal","Mature Black Dragon Sinew","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18705","2018.01.14"
"Veramal","Tender Wolf Meat","ffffffff","3","White","1","https://classicdb.ch/?item=12208","2017.12.18"
"Veramal","Giantstalker's Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16852","2018.01.14"
"Veramal","Thick Leather","ffffffff","1","White","1","https://classicdb.ch/?item=4304","2017.12.18"
"Veramal","Dragonstalker's Spaulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16937","2018.01.14"
"Veramal","Red Wolf Meat","ffffffff","3","White","1","https://classicdb.ch/?item=12203","2017.12.18"
"Veramal","Hand of Sulfuron","ffffffff","1","White","1","https://classicdb.ch/?item=17330","2018.01.14"
"Veramal","Broken Silithid Chitin","ff9d9d9d","3","Grey","0","https://classicdb.ch/?item=20499","2018.01.09"
"Veramal","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.12.18"
"Veramal","Armored Chitin","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=21222","2018.01.09"
"Veramal","Thick Furry Mane","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4583","2017.12.18"
"Veramal","Roasted Quail","ffffffff","7","White","1","https://classicdb.ch/?item=8952","2018.02.15"
"Veramal","Dragonstalker's Bracers","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16935","2018.01.28"
"Veramal","Guide: Aspect of the Hawk VII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21307","2018.01.15"
"Veramal","Hand of Lucifron","ffffffff","1","White","1","https://classicdb.ch/?item=17329","2018.01.14"
"Veramal","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2018.01.05"
"Veramal","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Veramal","Darkmoon Special Reserve","ffffffff","1","White","1","https://classicdb.ch/?item=19221","2018.01.30"
"Veramal","Head of Onyxia","ffa335ee","1","Epic","4","https://classicdb.ch/?item=18423","2017.12.17"
"Veramal","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.30"
"Veramal","Rugged Leather","ffffffff","1","White","1","https://classicdb.ch/?item=8170","2017.12.17"
"Veramal","Hand of Gehennas","ffffffff","1","White","1","https://classicdb.ch/?item=17331","2018.01.14"
"Veramal","Elder Raptor Feathers","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=20015","2018.01.05"
"Veramal","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2018.01.05"
"Veramal","Guide: Multi-Shot V","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21304","2017.12.22"
"Veramal","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Veramal","Primal Tiger Leather","ffffffff","2","White","1","https://classicdb.ch/?item=19768","2018.01.05"
"Veramal","Roasted Quail","ffffffff","7","White","1","https://classicdb.ch/?item=8952","2018.01.28"
"Veramal","Giantstalker's Breastplate","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16845","2017.12.21"
"Veramal","Raw Greater Sagefish","ffffffff","1","White","1","https://classicdb.ch/?item=21153","2018.02.11"
"Veramal","Dragonstalker's Gauntlets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16940","2017.12.28"
"Veramal","Heavy Silithid Husk","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21225","2018.01.09"
"Veramal","Hand of Shazzrah","ffffffff","1","White","1","https://classicdb.ch/?item=17332","2018.01.14"
"Veramal","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.12.18"
"Veramal","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.01.26"
"Veramal","Giantstalker's Helmet","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16846","2018.01.14"
"Veramal","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2018.01.05"
"Veramal","Guide: Serpent Sting IX","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21306","2017.12.26"
"Veramal","Thick Leather Bracers","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=3963","2017.12.18"
"Veramal","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2018.01.05"
"Veramal","Armored Chitin","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=21222","2018.01.15"
"Veramal","Thick Leather","ffffffff","8","White","1","https://classicdb.ch/?item=4304","2018.01.05"
"Veramal","Rugged Leather","ffffffff","40","White","1","https://classicdb.ch/?item=8170","2018.01.05"
"Veramal","Gurubashi Dwarf Destroyer","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19853","2018.01.05"
"Veramal","Thick Leather","ffffffff","8","White","1","https://classicdb.ch/?item=4304","2017.12.17"
"Veramal","Twill Pants","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3949","2017.12.17"
"Veramal","Ancient Qiraji Artifact","ffffffff","5","White","1","https://classicdb.ch/?item=21230","2018.01.18"
"Veramal","Ring of Fury","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21477","2017.12.22"
"Veramal","Roasted Quail","ffffffff","4","White","1","https://classicdb.ch/?item=8952","2017.12.19"
"Veramal","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.25"
"Veramal","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2018.02.09"
"Veramal","Qiraji Lord's Insignia","ffffffff","4","White","1","https://classicdb.ch/?item=21229","2018.01.18"
"Veramal","Thick Furry Mane","ff9d9d9d","4","Grey","0","https://classicdb.ch/?item=4583","2017.12.17"
"Veramal","Dragonstalker's Belt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16936","2017.12.21"
"Veramal","Crochet Vest","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3943","2017.12.19"
"Veramal","Qiraji Sacrificial Dagger","ffa335ee","1","Epic","4","https://classicdb.ch/?item=21498","2018.01.05"
"Veramal","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.17"
"Veramal","Dragonstalker's Helm","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16939","2018.02.04"
"Veramal","Qiraji Regal Drape","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20889","2017.12.29"
"Veramal","Roasted Quail","ffffffff","4","White","1","https://classicdb.ch/?item=8952","2017.12.28"
"Veramal","Crushing Maul","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4022","2017.12.17"
"Veramal","Black Dragonscale","ffffffff","3","White","1","https://classicdb.ch/?item=15416","2017.12.19"
"Veramal","Large Trophy Paw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4584","2017.12.17"
"Veramal","Rugged Leather","ffffffff","8","White","1","https://classicdb.ch/?item=8170","2017.12.19"
"Veramal","Worn Dragonscale","ffffffff","2","White","1","https://classicdb.ch/?item=8165","2017.12.19"
"Veramal","Channeler's Head","ffffffff","5","White","1","https://classicdb.ch/?item=19881","2018.01.23"
"Veramal","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.02.09"
"Veramal","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.12.19"
"Veramal","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.12.19"
"Veramal","Ancient Qiraji Artifact","ffffffff","7","White","1","https://classicdb.ch/?item=21230","2018.01.25"
"Veramal","Giantstalker's Leggings","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16847","2018.01.28"
"Veramal","Qiraji Spiked Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20886","2017.12.22"
"Veramal","Roasted Quail","ffffffff","8","White","1","https://classicdb.ch/?item=8952","2018.01.21"
"Veramal","Roasted Quail","ffffffff","3","White","1","https://classicdb.ch/?item=8952","2018.02.08"
"Veramal","Laminated Scale Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3992","2017.12.19"
"Veramal","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2017.12.17"
"Veramal","Roasted Quail","ffffffff","5","White","1","https://classicdb.ch/?item=8952","2017.12.21"
"Veramal","Sand Reaver Wristguards","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21502","2017.12.29"
"Veramal","Primed Musket","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=13825","2017.12.19"
"Veramal","Red Wolf Meat","ffffffff","5","White","1","https://classicdb.ch/?item=12203","2017.12.17"
"Veramal","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.12.17"
"Veramal","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2018.01.30"
"Veramal","Wicked Claw","ffffffff","1","White","1","https://classicdb.ch/?item=8146","2017.12.17"
"Veramal","Sayge's Fortune #7","ffffffff","1","White","1","https://classicdb.ch/?item=19242","2018.02.08"
"Veramal","Tome of Tranquilizing Shot","ff1eff00","1","Green","2","https://classicdb.ch/?item=16665","2017.11.26"
"Veramal","Roughshod Pike","ffffffff","1","White","1","https://classicdb.ch/?item=12533","2017.12.17"
"Veramal","Tender Wolf Meat","ffffffff","6","White","1","https://classicdb.ch/?item=12208","2017.12.17"
"Veramal","Dragonfang Blade","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19346","2018.01.21"
"Veramal","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.12.17"
"Veramal","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2018.01.05"
"Veramal","Giantstalker's Boots","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16849","2018.01.21"
"Veramal","Light Plate Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8081","2017.12.19"
"Veramal","Rugged Leather","ffffffff","3","White","1","https://classicdb.ch/?item=8170","2017.12.17"
"Veramal","Giantstalker's Epaulets","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16848","2017.11.26"
"Veramal","Primal Hakkari Stanchion","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19718","2018.01.05"
"Veramal","Light Plate Shoulderpads","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8086","2017.12.19"
"Veramal","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.12.19"
