"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Verus","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.09.04"
"Verus","Master's Boots of Strength","ff1eff00","1","Green","2","https://classicdb.ch/?item=10247","2018.01.03"
"Verus","Core Leather","ffffffff","1","White","1","https://classicdb.ch/?item=17012","2017.12.14"
"Verus","Runed Bloodstained Hauberk","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19904","2017.12.28"
"Verus","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.04"
"Verus","Light Plate Chestpiece","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=8080","2017.09.04"
"Verus","Dark Iron Residue","ffffffff","4","White","1","https://classicdb.ch/?item=18945","2017.09.04"
"Verus","Thekal's Grasp","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19896","2017.09.29"
"Verus","Evil Bat Eye","ffffffff","1","White","1","https://classicdb.ch/?item=11404","2017.09.22"
"Verus","Major Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13444","2017.10.02"
"Verus","Overlord's Onyx Band","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19912","2017.09.22"
"Verus","Overlinked Chain Boots","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4001","2017.09.04"
"Verus","Breastplate of Might","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16865","2017.12.28"
"Verus","Bloodscalp Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19706","2017.09.22"
"Verus","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.12.28"
"Verus","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2017.12.28"
"Verus","Patch of Fine Fur","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4581","2017.12.28"
"Verus","Primal Tiger Leather","ffffffff","1","White","1","https://classicdb.ch/?item=19768","2017.12.28"
"Verus","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19813","2017.09.22"
"Verus","Rugged Hide","ffffffff","1","White","1","https://classicdb.ch/?item=8171","2017.12.28"
"Verus","Zulian Coin","ff1eff00","1","Green","2","https://classicdb.ch/?item=19698","2017.09.22"
"Verus","Brilliant Scale","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6826","2017.09.19"
"Verus","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.12.28"
"Verus","Forked Tongue","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=6444","2017.09.19"
"Verus","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.08.26"
"Verus","Crystal Unlocking Mechanism","ffffffff","1","White","1","https://classicdb.ch/?item=20465","2017.10.15"
"Verus","Darkmoon Special Reserve","ffffffff","1","White","1","https://classicdb.ch/?item=19221","2017.10.02"
"Verus","Wristguards of Stability","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19146","2018.01.21"
"Verus","Deeprock Salt","ffffffff","1","White","1","https://classicdb.ch/?item=8150","2017.10.01"
"Verus","Fiery Gland","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4557","2017.08.26"
"Verus","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.08.26"
"Verus","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2018.02.22"
"Verus","Fireguard Shoulders","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19139","2017.09.03"
"Verus","Rugged Leather","ffffffff","9","White","1","https://classicdb.ch/?item=8170","2017.12.28"
"Verus","Orange Hakkari Bijou","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19710","2017.09.22"
