"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Yrion","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.12.04"
"Yrion","Alterac Swiss","ffffffff","3","White","1","https://classicdb.ch/?item=8932","2017.12.04"
"Yrion","Invader's Scourgestone","ffffffff","6","White","1","https://classicdb.ch/?item=12841","2017.12.04"
"Yrion","Runecloth","ffffffff","11","White","1","https://classicdb.ch/?item=14047","2017.12.04"
"Yrion","Scroll of Protection IV","ffffffff","1","White","1","https://classicdb.ch/?item=10305","2017.12.04"
"Yrion","Stratholme Holy Water","ffffffff","1","White","1","https://classicdb.ch/?item=13180","2017.12.04"
"Yrion","Greater Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=6149","2017.12.04"
"Yrion","Heavy War Staff","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4024","2017.12.04"
"Yrion","Dried King Bolete","ffffffff","2","White","1","https://classicdb.ch/?item=8948","2017.12.04"
"Yrion","Scroll of Agility IV","ffffffff","1","White","1","https://classicdb.ch/?item=10309","2017.12.04"
"Yrion","Minion's Scourgestone","ffffffff","18","White","1","https://classicdb.ch/?item=12840","2017.12.04"
"Yrion","Protective Pavise","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3986","2017.12.04"
"Yrion","Nightcrawlers","ffffffff","7","White","1","https://classicdb.ch/?item=6530","2017.12.04"
"Yrion","Ichor of Undeath","ffffffff","1","White","1","https://classicdb.ch/?item=7972","2017.12.04"
"Yrion","Morning Glory Dew","ffffffff","2","White","1","https://classicdb.ch/?item=8766","2017.12.04"
"Yrion","Of Love and Family","ffffffff","1","White","1","https://classicdb.ch/?item=14679","2017.12.04"
"Yrion","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.04"
"Yrion","Head of Balnazzar","ffffffff","1","White","1","https://classicdb.ch/?item=13250","2017.12.04"
