"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Zamocnik","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.22"
"Zamocnik","Thick Spider's Silk","ffffffff","1","White","1","https://classicdb.ch/?item=4337","2017.09.22"
"Zamocnik","Alterac Swiss","ffffffff","1","White","1","https://classicdb.ch/?item=8932","2017.09.22"
"Zamocnik","Ironweb Spider Silk","ffffffff","1","White","1","https://classicdb.ch/?item=14227","2017.09.22"
"Zamocnik","Glowing Scorpid Blood","ffffffff","1","White","1","https://classicdb.ch/?item=19933","2017.09.22"
"Zamocnik","General Drakkisath's Command","ffffffff","1","White","1","https://classicdb.ch/?item=12780","2017.09.22"
"Zamocnik","Large Scorpid Claw","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=19934","2017.09.22"
"Zamocnik","Thick Leather Belt","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3961","2017.09.22"
"Zamocnik","Mystery Meat","ffffffff","1","White","1","https://classicdb.ch/?item=12037","2017.09.22"
"Zamocnik","Runecloth","ffffffff","4","White","1","https://classicdb.ch/?item=14047","2017.09.22"
"Zamocnik","Fiery Gland","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4557","2017.09.22"
"Zamocnik","Superior Mana Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13443","2017.09.22"
"Zamocnik","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.09.22"
"Zamocnik","Eye of the Emberseer","ffffffff","1","White","1","https://classicdb.ch/?item=17322","2017.09.22"
"Zamocnik","Shadow Silk","ffffffff","1","White","1","https://classicdb.ch/?item=10285","2017.09.22"
"Zamocnik","Crushing Maul","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4022","2017.09.22"
"Zamocnik","Morning Glory Dew","ffffffff","1","White","1","https://classicdb.ch/?item=8766","2017.09.22"
"Zamocnik","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.09.22"
"Zamocnik","Scroll of Intellect IV","ffffffff","1","White","1","https://classicdb.ch/?item=10308","2017.09.22"
"Zamocnik","Nightslayer Pants","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16822","2017.08.05"
"Zamocnik","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.22"
"Zamocnik","Runecloth","ffffffff","3","White","1","https://classicdb.ch/?item=14047","2017.09.22"
