"Name","Item","Color","Quantity","Quality","Priority","URL","Date"
"Zendaril","Onyxia Hide Backpack","ff1eff00","1","Green","2","https://classicdb.ch/?item=17966","2017.09.17"
"Zendaril","Encrypted Twilight Text","ffffffff","4","White","1","https://classicdb.ch/?item=20404","2017.09.18"
"Zendaril","Large Bat Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=11403","2018.02.09"
"Zendaril","Coal","ffffffff","1","White","1","https://classicdb.ch/?item=3857","2017.09.17"
"Zendaril","Ancient Qiraji Artifact","ffffffff","2","White","1","https://classicdb.ch/?item=21230","2018.02.11"
"Zendaril","Qiraji Lord's Insignia","ffffffff","5","White","1","https://classicdb.ch/?item=21229","2018.02.11"
"Zendaril","Arcanist Crown","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16795","2017.09.17"
"Zendaril","Roasted Quail","ffffffff","1","White","1","https://classicdb.ch/?item=8952","2017.09.18"
"Zendaril","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.12.28"
"Zendaril","Smooth Leather Gloves","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=3973","2017.09.18"
"Zendaril","Kurinnaxx's Venom Sac","ffffffff","1","White","1","https://classicdb.ch/?item=22217","2018.02.09"
"Zendaril","Primal Hakkari Shawl","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19721","2017.10.02"
"Zendaril","Dripping Spider Mandible","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4585","2017.10.02"
"Zendaril","Tome of Arcane Missiles VIII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21280","2017.12.29"
"Zendaril","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.10.02"
"Zendaril","Runecloth","ffffffff","2","White","1","https://classicdb.ch/?item=14047","2017.10.02"
"Zendaril","Punctured Voodoo Doll","ff1eff00","1","Green","2","https://classicdb.ch/?item=19817","2017.10.02"
"Zendaril","Ancient Qiraji Artifact","ffffffff","1","White","1","https://classicdb.ch/?item=21230","2018.01.04"
"Zendaril","Scroll of Spirit IV","ffffffff","1","White","1","https://classicdb.ch/?item=10306","2017.10.02"
"Zendaril","Skullcracking Mace","ff1eff00","1","Green","2","https://classicdb.ch/?item=18481","2017.12.29"
"Zendaril","Major Healing Potion","ffffffff","1","White","1","https://classicdb.ch/?item=13446","2017.12.29"
"Zendaril","Netherwind Gloves","ffa335ee","1","Epic","4","https://classicdb.ch/?item=16913","2017.12.28"
"Zendaril","Tome of Fireball XII","ff0070dd","1","Blue","3","https://classicdb.ch/?item=21279","2017.12.26"
"Zendaril","Ring of Spell Power","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19147","2017.10.15"
"Zendaril","Qiraji Magisterial Ring","ff0070dd","1","Blue","3","https://classicdb.ch/?item=20884","2017.12.26"
"Zendaril","Bloodtinged Gloves","ff0070dd","1","Blue","3","https://classicdb.ch/?item=19929","2017.10.10"
"Zendaril","Qiraji Ornate Hilt","ffa335ee","1","Epic","4","https://classicdb.ch/?item=20890","2017.12.26"
"Zendaril","Powerful Mojo","ffffffff","1","White","1","https://classicdb.ch/?item=12804","2017.10.06"
"Zendaril","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.10.06"
"Zendaril","Runecloth","ffffffff","1","White","1","https://classicdb.ch/?item=14047","2017.10.06"
"Zendaril","Golden Sansam","ffffffff","1","White","1","https://classicdb.ch/?item=13464","2017.10.06"
"Zendaril","Dripping Spider Mandible","ff9d9d9d","2","Grey","0","https://classicdb.ch/?item=4585","2017.10.06"
"Zendaril","Sabertooth Fang","ff9d9d9d","1","Grey","0","https://classicdb.ch/?item=4580","2017.09.29"
"Zendaril","Soul Corrupter's Necklace","ffa335ee","1","Epic","4","https://classicdb.ch/?item=19876","2017.09.29"
